"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Iidabashi","Iidabashi",0,340000000,50,"","Rectangular Shaped",3.5,75,"1954","W","House, Shop","Shop","Northeast",27,"Tokyo Metropolitan Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Iidabashi","Suidobashi",3,240000000,80,"","Trapezoidal Shaped",5.5,490,"1993","S","Parking Lot","House","East",11.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho",6,640000000,180,3500000,"Irregular Shaped",11,"","","","","Other","Southeast",6,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho",3,780000000,170,"","Semi-shaped",12,970,"1982","SRC","Housing Complex, Shop","House","Northeast",11,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Uchikanda","Kanda(Tokyo)",5,500000000,105,4700000,"Semi-square Shaped",10,"","","","","House","West",8,"Ward Road","Commerical",80,600,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Uchikanda","Kanda(Tokyo)",3,1600000000,185,"","Semi-square Shaped",14,1100,"1996","RC","Shop, Other","Office","East",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Uchikanda","Kanda(Tokyo)",5,100000000,35,2800000,"Rectangular Shaped",4,"","","","","Other","West",8,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kajicho","Kanda(Tokyo)",2,690000000,85,"","Semi-rectangular Shaped",4.5,460,"1993","SRC","Other","Office","Northwest",9.9,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kajicho","Kanda(Tokyo)",2,300000000,80,"","Rectangular Shaped",5.8,180,"1991","S","Shop","Shop","North",4,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandaizumicho","Akihabara",5,150000000,35,"","Rectangular Shaped",5.1,100,"1980","S","House, Warehouse","Office","North",5.2,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
