"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Iidabashi","Iidabashi","0",3.4e+08,"50",NA,"Rectangular Shaped","3.5","75","1954","W","House, Shop","Shop","Northeast",27,"Tokyo Metropolitan Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Iidabashi","Suidobashi","3",2.4e+08,"80",NA,"Trapezoidal Shaped","5.5","490","1993","S","Parking Lot","House","East",11.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","3",7.8e+08,"170",NA,"Semi-shaped","12","970","1982","SRC","Housing Complex, Shop","House","Northeast",11,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Uchikanda","Kanda(Tokyo)","3",1.6e+09,"185",NA,"Semi-square Shaped","14","1100","1996","RC","Shop, Other","Office","East",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kajicho","Kanda(Tokyo)","2",6.9e+08,"85",NA,"Semi-rectangular Shaped","4.5","460","1993","SRC","Other","Office","Northwest",9.9,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kajicho","Kanda(Tokyo)","2",3e+08,"80",NA,"Rectangular Shaped","5.8","180","1991","S","Shop","Shop","North",4,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandaizumicho","Akihabara","5",1.5e+08,"35",NA,"Rectangular Shaped","5.1","100","1980","S","House, Warehouse","Office","North",5.2,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandakon-yacho","Kanda(Tokyo)","3",1e+08,"35",NA,"Rectangular Shaped","3.6","155","1984","S","Office","Other","West",11,"Ward Road","Commerical",80,600,"3rd quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara","2",2.3e+08,"195",NA,"Semi-rectangular Shaped","16","510","1970","RC","Office","Office","North",6.3,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho","1",7.2e+07,"35",NA,"Semi-rectangular Shaped","3.8","130","1980","S","House, Shop","Shop","North",6,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho","4",2.7e+08,"175",NA,"Semi-rectangular Shaped","6.8","100","","W","House, Shop","House","Southeast",5.5,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho","4",3.7e+08,"85",NA,"Rectangular Shaped","10.6","150","2024","S","Shop","Shop","Northwest",4,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho","3",9.5e+07,"55",NA,"Semi-rectangular Shaped","4.7","130","1976","RC","House, Shop","Other","Southwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho","2",1.5e+08,"60",NA,"Semi-rectangular Shaped","9","170","1968","SRC","Office, Shop","Shop","Southeast",8,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandahirakawacho","Akihabara","1",7.4e+08,"130",NA,"Irregular Shaped","7","970","1969","RC","House, Office, Shop","Office","West",44,"National Road","Commerical",80,800,"1st quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","2",1.7e+09,"200",NA,"Trapezoidal Shaped","6","630","2022","RC","Office, Shop","Office","Northwest",5.4,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","3",3.5e+08,"35",NA,"Semi-shaped","4.1","125","2025","RC","Shop","Shop","Northeast",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","2",2e+09,"270",NA,"Rectangular Shaped","11","910","1987","SRC","Office, Shop","","Northeast",5.4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","2",2.8e+09,"420",NA,"Rectangular Shaped","18.4","1400","2021","S","Office","Office","Northeast",5.5,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kudamminami","Kudanshita","1",2.6e+08,"100",NA,"Semi-rectangular Shaped","12.5","90","before the war","W","Shop","Shop","West",4,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Kojimachi","Kojimachi","2",2.1e+08,"50",NA,"Rectangular Shaped","4.7","175","1979","S","Housing Complex, Shop","Other","Northeast",11,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13101,"Tokyo","Chiyoda Ward","Sambancho","Hanzomon","4",1.6e+09,"230",NA,"Semi-trapezoidal Shaped","18","200","","W","House","Other","East",11,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)","3",1.3e+09,"210",NA,"Rectangular Shaped","19.5","420","1991","S","House, Office, Shop","Other","South",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)","5",3e+09,"230",NA,"Semi-shaped","14.5","1400","2024","S","Office, Shop","Office","East",22,"Tokyo Metropolitan Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)","3",7e+07,"50",NA,"Rectangular Shaped","3.7","70","1973","","","House","South",5.9,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Sotokanda","Yushima(Tokyo)","2",6.1e+08,"95",NA,"Rectangular Shaped","7.8","320","2003","S","Office","Office","North",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Nishikanda","Jimbocho","5",1.1e+08,"80",NA,"Rectangular Shaped","5.2","125","1984","W","House, Office","Office","Southeast",4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Higashikanda","Iwamotocho","5",1e+09,"170",NA,"Irregular Shaped","11.6","810","1987","SRC","Office","Office","Northeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","2",8e+08,"120",NA,"Semi-shaped","10.4","750","2003","RC","Housing Complex","House","Southwest",22,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13101,"Tokyo","Chiyoda Ward","Hirakawacho","Hanzomon","4",1.8e+09,"210",NA,"Irregular Shaped","11","1300","1993","SRC","House, Office, Shop","Office","East",16,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","5",3.5e+07,"30",NA,"","","85","1975","W","","","Southwest",2.7,"Private Road","2 Res",80,108,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","5",3.7e+07,"35",NA,"","","45","1980","W","","","Northeast",2.7,"Private Road","2 Res",80,108,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","5",7.3e+07,"40",NA,"","","85","1966","LS","","","Northeast",10.9,"Public Road","2 Res",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13102,"Tokyo","Chuo Ward","Tsukuda","Tsukishima","5",2.2e+08,"125",NA,"","","145","1950","W","","","Northeast",10.9,"Public Road","2 Res",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Akashicho","Tsukiji","6",2.4e+09,"410",NA,"Rectangular Shaped","14","2,000 ㎡ or greater.","2024","RC","Housing Complex","House","Southwest",13,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Irifune","Hatchobori(Tokyo)","3",4e+08,"200",NA,"Rectangular Shaped","22","170","1953","W","Shop","","Southwest",3,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings of adjacent land"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Kachidoki","Kachidoki","4",1.2e+09,"170",NA,"Rectangular Shaped","9.1","770","2025","RC","Housing Complex, Shop","House","Northwest",10.9,"Ward Road","2 Res",80,400,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Kachidoki","Kachidoki","2",9e+07,"40",NA,"Semi-rectangular Shaped","4.2","55","1970","W","House","Shop","Northeast",2.7,"Private Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Kachidoki","Kachidoki","2",9.3e+07,"45",NA,"Semi-rectangular Shaped","5","45","","W","House","Shop","Northeast",2.7,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Ginza","2",2e+09,"100",NA,"Semi-rectangular Shaped","5.5","650","2001","SRC","Office, Shop","Office","Southeast",26.9,"Tokyo Metropolitan Road","Commerical",80,800,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Ginza Itchome","3",7.1e+08,"55",NA,"Rectangular Shaped","9.5","260","1986","RC","Office, Parking Lot","Office","Northwest",12.7,"Ward Road","Commerical",80,700,"4th quarter 2024",""
